,Title,Budget,Gross,MPAArating,Runtime,IMDBRating,IMDBRatingCount,IMDBMCRating,IMDBMCRatingCount,APPROVED,G,GP,M,NC-17,NOT RATED,PASSED,PG,PG13,R,TV-14,UNRATED,X,GRRating,GRRatingCount
53,The Rape of Europa,,,UNRATED,117.0,7.7,1172.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,4689
54,Lone Survivor,40000000.0,125069696.0,R,121.0,7.6,190588.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,88
55,Lone Survivor,40000000.0,125069696.0,R,121.0,7.6,190588.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,88
56,Lone Survivor,40000000.0,125069696.0,R,121.0,7.6,190588.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,88
57,Lone Survivor,40000000.0,125069696.0,R,121.0,7.6,190588.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,88
58,Hugo,170000000.0,73820094.0,PG,126.0,7.6,235659.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.23,118432
59,Hugo,170000000.0,73820094.0,PG,126.0,7.6,235659.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.23,118432
60,Hugo,170000000.0,73820094.0,PG,126.0,7.6,235659.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.23,118432
61,Hugo,170000000.0,73820094.0,PG,126.0,7.6,235659.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.23,118432
62,Moneyball,50000000.0,75605492.0,PG-13,133.0,7.6,273355.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.22,60618
63,Moneyball,50000000.0,75605492.0,PG-13,133.0,7.6,273355.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.22,60618
64,Moneyball,50000000.0,75605492.0,PG-13,133.0,7.6,273355.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.22,60618
65,Moneyball,50000000.0,75605492.0,PG-13,133.0,7.6,273355.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.22,60618
66,Munich,70000000.0,47379090.0,R,164.0,7.6,171690.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.36,4940
67,Munich,70000000.0,47379090.0,R,164.0,7.6,171690.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.36,4940
68,Munich,70000000.0,47379090.0,R,164.0,7.6,171690.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.36,4940
69,Munich,70000000.0,47379090.0,R,164.0,7.6,171690.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.36,4940
70,Philomena,12000000.0,37707719.0,PG-13,98.0,7.6,71677.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.68,38
71,Philomena,12000000.0,37707719.0,PG-13,98.0,7.6,71677.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.68,38
72,Philomena,12000000.0,37707719.0,PG-13,98.0,7.6,71677.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.68,38
73,Philomena,12000000.0,37707719.0,PG-13,98.0,7.6,71677.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.68,38
74,The Shock Doctrine,,,,79.0,7.6,1918.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,22133
75,The Shock Doctrine,,,,79.0,7.6,1918.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,22133
76,The Shock Doctrine,,,,79.0,7.6,1918.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,22133
77,The Shock Doctrine,,,,79.0,7.6,1918.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,22133
78,Freedom Writers,21000000.0,36581633.0,PG-13,123.0,7.5,50023.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.07,10197
79,Freedom Writers,21000000.0,36581633.0,PG-13,123.0,7.5,50023.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.07,10197
80,Freedom Writers,21000000.0,36581633.0,PG-13,123.0,7.5,50023.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.07,10197
81,Freedom Writers,21000000.0,36581633.0,PG-13,123.0,7.5,50023.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.07,10197
82,The End of America,,,,,7.5,741.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,1740
83,The End of America,,,,,7.5,741.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,1740
84,The End of America,,,,,7.5,741.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,1740
85,The End of America,,,,,7.5,741.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,1740
86,Lincoln,65000000.0,182204440.0,PG-13,150.0,7.4,189534.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.16,22237
87,Invictus,60000000.0,37479778.0,PG-13,134.0,7.4,119068.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.62,338
88,Capote,7000000.0,28747570.0,R,114.0,7.4,96173.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.03,358013
89,The Baader Meinhof Complex,,,R,150.0,7.4,28482.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.02,763
90,Zift,,,,92.0,7.4,3901.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,Testament of Youth,,,PG-13,129.0,7.3,10090.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.17,3602
92,Rise of the Guardians,145000000.0,103400692.0,PG,97.0,7.3,117378.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.32,106
93,Pitch Perfect,17000000.0,64998368.0,PG-13,112.0,7.2,201595.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.37,943
94,Wild,15000000.0,37877959.0,R,115.0,7.2,76575.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.92,539533
95,Paddington,55000000.0,76137505.0,PG,95.0,7.2,44818.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,55692
96,Defiance,32000000.0,28622873.0,R,137.0,7.2,112505.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.71,21301
97,Nowhere Boy,,,R,98.0,7.2,28178.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,18
