,Title,Budget,Gross,MPAArating,Runtime,IMDBRating,IMDBRatingCount,IMDBMCRating,IMDBMCRatingCount
147,Carandiru,,,R,145.0,7.6,13339.0,,
148,The Bishop's Wife,,,NOT RATED,109.0,7.6,9981.0,,
149,King of the Hill,8000000.0,1299318.0,PG-13,103.0,7.6,5734.0,,
150,The Mark of Zorro,,,APPROVED,94.0,7.6,7396.0,,
151,The Wild Child,,,G,83.0,7.6,5637.0,,
152,Bandit Queen,,,,119.0,7.6,3219.0,,
153,The Counterfeit Traitor,,,,140.0,7.6,1697.0,,
154,The Lusty Men,,,,113.0,7.6,1576.0,,
155,Hold Back the Dawn,,,NOT RATED,116.0,7.6,1091.0,,
156,The Shock Doctrine,,,,79.0,7.6,1918.0,,
157,The Legend of Suram Fortress,,,,88.0,7.6,1012.0,,
158,Section spéciale,,,PG,110.0,7.6,422.0,,
159,Cavalleria rusticana,,,,70.0,7.6,166.0,,
160,Cinerama Holiday,,,,119.0,7.6,79.0,,
161,Strana glukhikh,,,,105.0,7.6,906.0,,
162,Mogholha,,,,92.0,7.6,65.0,,
163,Cave in the Snow,,,,52.0,7.6,8.0,,
164,The Judas of Tyrol,,,,82.0,7.6,7.0,,
165,Dark River,,,UNRATED,82.0,7.6,109.0,,
166,Qizil uçurum,,,,79.0,7.6,7.0,,
167,Znak bedy,,,,151.0,7.6,32.0,,
168,Dnevnye zvyozdy,,,,94.0,7.6,19.0,,
169,Stepen riska,,,,95.0,7.6,45.0,,
170,Sleepers,44000000.0,53300852.0,R,147.0,7.5,149609.0,,
171,Freedom Writers,21000000.0,36581633.0,PG-13,123.0,7.5,50023.0,,
172,Marathon Man,,,R,125.0,7.5,42850.0,,
173,Pumping Iron,,,PG,85.0,7.5,14588.0,,
174,The King and I,,,G,133.0,7.5,18482.0,,
175,Quiz Show,,,PG-13,133.0,7.5,52068.0,,
176,Searching for Bobby Fischer,,,PG,109.0,7.5,22885.0,,
177,Reds,35000000.0,,R,195.0,7.5,15760.0,,
178,Rabbit-Proof Fence,6000000.0,6165429.0,PG,94.0,7.5,22937.0,,
179,Cry Freedom,29000000.0,5899797.0,PG,157.0,7.5,9625.0,,
180,Somebody Up There Likes Me,,,PASSED,113.0,7.5,5606.0,,
181,Mesrine Part 2: Public Enemy #1,,,R,133.0,7.5,22675.0,,
182,The Secret of Roan Inish,3000000.0,6101600.0,PG,103.0,7.5,6006.0,,
183,The Man Who Never Was,,,APPROVED,103.0,7.5,3095.0,,
184,Captain Horatio Hornblower R.N.,,,,117.0,7.5,4763.0,,
185,To Hell and Back,,,APPROVED,106.0,7.5,3668.0,,
186,The Hiding Place,,,PG,150.0,7.5,1281.0,,
187,Friendly Persuasion,,,UNRATED,137.0,7.5,4757.0,,
188,Thirty Seconds Over Tokyo,,,PASSED,138.0,7.5,3966.0,,
189,84 Charing Cross Road,,,PG,100.0,7.5,5649.0,,
190,Hong gao liang,,,,91.0,7.5,5515.0,,
191,Voroshilovskiy strelok,,,,95.0,7.5,1692.0,,
192,Entre Nous,,,PG,110.0,7.5,1220.0,,
193,Nine Lives,,,,96.0,7.5,1144.0,,
194,"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood",,,TV-14,119.0,7.5,2207.0,,
195,The Battle of Russia,,,,83.0,7.5,581.0,,
196,La ciudad y los perros,,,UNRATED,135.0,7.5,379.0,,
197,Wir können auch anders...,,,,92.0,7.5,1105.0,,
198,Poslusne hlásím,,,,91.0,7.5,382.0,,
199,The End of America,,,,,7.5,741.0,,
